CellID, Experimenter, Species, Channel, CellType, Path, Status
392_1, OH, Mouse, ch2, SNcDAProj, \001_141029A01_OH\001_141029A1MMP14SNcDA_OH, 1
393_1, OH, Mouse, ch2, SNcDAProj, \001_141029A02_OH\001_141029A2MMP14SNcDA_OH, 1
394_1, OH, Mouse, ch2, SNcDAProj, \001_141029A03_OH\001_141029A3MMP14SNcDA_OH, 1
395_1, OH, Mouse, ch2, SNcDAProj, \001_141029A04_OH\001_141029A4MMP14SNcDA_OH, 1
396_1, OH, Mouse, ch2, SNcDAProj, \001_141029A05_OH\001_141029A5MMP14SNcDA_OH, 1
397_1, OH, Mouse, ch2, SNcDAProj, \001_141216A01_OH\001_141216A1MMP16SNcDA_OH, 1
398_1, OH, Mouse, ch2, SNcDAProj, \001_141216A02_OH\001_141216A2MMP16SNcDA_OH, 1
399_1, OH, Mouse, ch2, SNcDAProj, \001_141216A03_OH\001_141216A3MMP16SNcDA_OH, 1
400_1, OH, Mouse, ch2, SNcDAProj, \001_141216A04_OH\001_141216A4MMP16SNcDA_OH, 1
401_1, OH, Mouse, ch2, SNcDAProj, \001_150211A01_OH\001_150211A1MMP14SNcDA_OH, 1
402_1, OH, Mouse, ch2, SNcDAProj, \001_150211A02_OH\001_150211A2MMP14SNcDA_OH, 1
403_1, OH, Mouse, ch2, SNcDAProj, \001_150211A03_OH\001_150211A3MMP14SNcDA_OH, 1
404_1, OH, Mouse, ch2, SNcDAProj, \001_150211A04_OH\001_150211A4MMP14SNcDA_OH, 1
405_1, OH, Mouse, ch2, SNcDAProj, \001_150211A05_OH\001_150211A5MMP14SNcDA_OH, 1
406_1, OH, Mouse, ch2, SNcDAProj, \001_150211B01_OH\001_150211B1MMP14SNcDA_OH, 1
407_1, OH, Mouse, ch2, SNcDAProj, \001_150211B02_OH\001_150211B2MMP14SNcDA_OH, 1
408_1, OH, Mouse, ch2, SNcDAProj, \001_150306A01_OH\001_150306A1MMP13SNcDA_OH, 1
409_1, OH, Mouse, ch2, SNcDAProj, \001_150306A02_OH\001_150306A2MMP13SNcDA_OH, 1
410_1, OH, Mouse, ch2, SNcDAProj, \001_150306A03_OH\001_150306A3MMP13SNcDA_OH, 1
411_1, OH, Mouse, ch2, SNcDAProj, \001_150306A04_OH\001_150306A4MMP13SNcDA_OH, 1
412_1, OH, Mouse, ch2, SNcDAProj, \001_150309A01_OH\001_150309A1MMP16SNcDA_OH, 1
413_1, OH, Mouse, ch2, SNcDAProj, \001_150309A02_OH\001_150309A2MMP16SNcDA_OH, 1
414_1, OH, Mouse, ch2, SNcDAProj, \001_150408A01_OH\001_150408A1MMP14SNcDA_OH, 1
415_1, OH, Mouse, ch2, SNcDAProj, \001_150408A02_OH\001_150408A2MMP14SNcDA_OH, 1
416_1, OH, Mouse, ch2, SNcDAProj, \001_150408A03_OH\001_150408A3MMP14SNcDA_OH, 1
417_1, OH, Mouse, ch2, SNcDAProj, \001_150408A04_OH\001_150408A4MMP14SNcDA_OH, 1
418_1, OH, Mouse, ch2, SNcDAProj, \001_150408A05_OH\001_150408A5MMP14SNcDA_OH, 1
419_1, OH, Mouse, ch2, SNcDAProj, \001_150409A01_OH\001_150409A1MMP15SNcDA_OH, 1
420_1, OH, Mouse, ch2, SNcDAProj, \001_150409A02_OH\001_150409A2MMP15SNcDA_OH, 1
421_1, OH, Mouse, ch2, SNcDAProj, \001_150409A03_OH\001_150409A3MMP15SNcDA_OH, 1
422_1, OH, Mouse, ch2, SNcDAProj, \001_150409B01_OH\001_150409B1MMP15SNcDA_OH, 1
423_1, OH, Mouse, ch2, SNcDAProj, \001_150409B02_OH\001_150409B2MMP15SNcDA_OH, 1
424_1, OH, Mouse, ch2, SNcDAProj, \001_150409B03_OH\001_150409B3MMP15SNcDA_OH, 1
425_1, OH, Mouse, ch2, SNcDAProj, \001_150410A01_OH\001_150410A1MMP16SNcDA_OH, 1
426_1, OH, Mouse, ch2, SNcDAProj, \001_150410A02_OH\001_150410A2MMP16SNcDA_OH, 1
427_1, OH, Mouse, ch2, SNcDAProj, \001_150410A03_OH\001_150410A3MMP16SNcDA_OH, 1
428_1, OH, Mouse, ch2, SNcDAProj, \001_150410A04_OH\001_150410A4MMP16SNcDA_OH, 1
429_1, OH, Mouse, ch2, SNcDAProj, \001_150410B01_OH\001_150410B1MMP16SNcDA_OH, 1
430_1, OH, Mouse, ch2, SNcDAProj, \001_150410B02_OH\001_150410B2MMP16SNcDA_OH, 1
431_1, OH, Mouse, ch2, DAFill, \002_141119A1_OH\002_141119A1MMP15SNcDA_OH, 1
432_1, OH, Mouse, ch2, DAFill, \002_141119A2_OH\002_141119A2MMP15SNcDA_OH, 1
433_1, OH, Mouse, ch2, DAFill, \002_141119A3_OH\002_141119A3MMP15SNcDA_OH, 1
